,description,id,rating,title,category
6439,Location: Kallax,kPDxpJZ8PD,4,Location: ...,territory
6444,"This game is oozing in theme. Apart from that it doesn't stand out as a coop game that deserves as much praise as it is getting. 

If I were to put it into few words I would say it is a more casual and basic approach to aeon's end, lord of the rings the card game and arkham horror the card game. 

Yes the game takes on a board, looks prettier and isn't just cards, but at the end of the day the choices you make in this game don't feel as impactful, thought provoking and the struggle to win isn't as entertaining as any of the other games listed above.

Conclusion: great game for getting new players in the hobby, not enough depth for those who already play aeon's end and the  like.",kPDxpJZ8PD,3,Game of Theme,territory
6448,Borrowed from Joe!,kPDxpJZ8PD,5,Borrowed f...,territory
6458,"With: 
[thing=193065][/thing] 
[thing=232394][/thing]",kPDxpJZ8PD,4,"With: 
[th...",territory
6460,"GAMEPLAY
Players take on the role of an eponymous spirit, wielding spooky powers to help the native Dahan population (read: Mushroom People) turn back the invaders and the blight they bring with them. A turn is broken into several phases. First, players choose a growth action and pay for the cards they will use this round. Second, players enact fast power cards and take any innate actions if possible. Third, invaders ravage while the MP fight back, and then the invaders build and explore. Fourth, players enact slow power cards and take any innate actions if possible. And, finally, there is a clean-up phase. The game continues until the spirits win by achieving their fear-level objectives, or the invaders win by exhausting the terrain deck, placing all their blight on the island, or by completely killing off one of the spirits.

THOUGHTS
Kudos to Eric Reuss for not only making a heavy cooperative game but also a cooperative game that eliminates the QB problem many of these games suffer from. There were moments when players said, “This is clearly the best move.” But, overall, there is so much to process that it would be difficult and cumbersome for a player to direct another player’s action. The main action of the game happens via your personal deck, and the powers are nuanced enough that even playing the same spirit several times would not get old. 
All that said, I can see why people enjoy SI but I don’t think it’s for me. First, I don’t care for the aesthetic or table presence of the game. The beginner side of the tiles, while easy to parse, looks like a prototype, and the invader pieces feel a little cheap. Second, the game is just too long. At the beginning of each round, we parse what we want to do, calculating energy, choosing our cards, and thinking about the icons we need for our innate powers (or whatever they are). Then we talk about the board state. Can you deal with this here? I got this area. But, oh wait, your power sets you up to deal with them. I guess I could direct this card here but that feels like overkill. Maybe I’ll just push an MP this round and save up for next when mountains are ravaged. There is so much information to parse, I end up losing the thread of my initial plans, which forces me to start all over. It’s solitary and quiet, it’s frustrating, and it’s looong. Some people might like the puzzley nature of SI as well as the deep dive you can take into getting better with a spirit and the different cards but, man, that is so far from what I am interested in. SI is a unique design but a hard pass for me. 
I’ll give SI a rating of six (“Ok – will play if in the mood”) because I think it’s a clever design but I certainly will actively look to play something else if possible.",kPDxpJZ8PD,3,"GAMEPLAY
P...",territory
6462,"I don't even like co-op game but this is the co-op game even for people like me
+Spirit Island: Heart of the Wildfire & Serpent Slumbering Beneath the Island Promo Spirits (2017)
+Spirit Island: Branch & Claw (2017)
+Spirit Island: Jagged Earth (2020)",kPDxpJZ8PD,4,I don't ev...,territory
6465,#5,kPDxpJZ8PD,5,#5,territory
6467,Have promo pack #1,kPDxpJZ8PD,4,Have promo...,territory
6471,"Haven't bothered to rate a game for a long time, for reasons that would take too long to explain, and yet, I feel compelled to rate this one. It gets 9 stars because it is imaginative, evocative, and stupendously provocative. But more importantly, it is a blast to play because every spirit is really distinguishable from others. Excellent design!",kPDxpJZ8PD,4,Haven't bo...,territory
6479,"Like most coop games Spirit Island ramps up to brutal hard by the end.  I love the theme, but am not a huge fan of the difficulty.  I did not play a lot of Nintendo games growing up for the same reason.  I want to have fun not get beaten into submission.",kPDxpJZ8PD,3,Like most ...,territory
6482,I found this game not as complex as some have led on. It has plenty of moving parts but there is a great amount of symbology and player aides to keep you from digging into the rulebook. The play starts a little slow but by the third or fourth round the play becomes very dynamic and interactive. Overall this is a really cool game.,kPDxpJZ8PD,4,I found th...,territory
6491,"The best Co-op (and solo) game I've ever played and it's not close. a top 3 game for me, I just can't decide whether it's 1, 2, or 3. Euro crunchiness with a great theme, components, art, difficulty, and variability. a 10/10",kPDxpJZ8PD,5,The best C...,territory
6496,"Alan introduced the game to me at LBGG.
Loved it and immediately set about tracking down a copy.
This game is such a mind melt of choices & theme.
 A cooperative area control game i can play with the wife",kPDxpJZ8PD,4,Alan intro...,territory
6501,All cards sleeved. Also have the Branch and Claw expansion and the promo spirits.,kPDxpJZ8PD,4,All cards ...,territory
6520,"W/ Exp: Branch and Claw, Promo Spirits

Way too many rules to keep track of, but we had such a blast playing through this. The amount of variety is staggering in just the base box and with it being cooperative, it's a good and heavy game to chew on.",kPDxpJZ8PD,4,W/ Exp: Br...,territory
6523,"One of my favorite games in the collection, and one that is fun to solo. Definitely a brain burner. The real magic comes out in how much the game changes depending on which spirits are in play. I need to get this back to the table and dive in a little deeper.",kPDxpJZ8PD,5,One of my ...,territory
6527,"I am not one that is very fond of coop games in the pandemic ilk since I think there is usually a fairly obvious decision tree. This game has so much going on that the decisions are far from obvious, and it would be very difficult to micromanage other players. I have only played solo, both with a single spirit and two handed and there was so much going on with two-handed that it was hard to manage. This just makes me even more excited for multiplayer.",kPDxpJZ8PD,4,I am not o...,territory
6528,Coop; Euro,kPDxpJZ8PD,3,Coop; Euro...,territory
6535,Borrowed by Silvia.,kPDxpJZ8PD,4,Borrowed b...,territory
6540,Love it. So thinky and you work together! Co-oping isn't the easiest but can be done.,kPDxpJZ8PD,5,Love it. S...,territory
6541,"Spirit Island is a deeply strategic and highly collaborative game. Each spirit is unique and thematic, with various levels of complexity to encourage several sessions. The hand crafting elements establish a, albeit slow, sense of power progression. Unfortunately the rules overhead becomes overly laborious. The base game is quite simple, but after including scenarios and adversaries the rules become difficult to remember and the invader phase becomes excessively tiresome.",kPDxpJZ8PD,3,Spirit Isl...,territory
6542, ,kPDxpJZ8PD,3, ...,territory
6547,"On of the best co-op games I have ever played. It's a great take on the colonisation theme where you are defending instead of attacking. The game offers great replay-ability with multiple spirits, adversaries, scenarios and (fear-)cards to mix up the gameplay and set-up. I'm interested in the expansions, but will only buy them when I have had enough of the base-game.",kPDxpJZ8PD,4,On of the ...,territory
6548,"My all-time favorite cooperative game. My wife will only ever play coop games, so our collection, although small, would be 100% coop if relatives didn't buy us competitive for gifts.

What I look for in a great board game is fantastic art, fantasy/science fiction themes, complexity, and difficulty. Spirit Island delivers on all fronts.",kPDxpJZ8PD,5,My all-tim...,territory
6549,"This is a favorite in my local group. The players play as spirits helping native villagers fight off invading colonialists. There are many spirits and each one plays very diverse and in interesting ways, making combinations with other spirits that are really unique and fun to explore. The game is also very challenging. The base difficulty is a pretty challenging level for the first few playthroughs, but then you can add more variety to a game by introducing scenarios that modify rules as well as adversaries, basically giving the invaders special bonus abilities and advantages. The adversary levels range from level 1 to level 6 and there are many adversaries so you definitely have many options in how to change it up.",kPDxpJZ8PD,5,Great Co-Op game with fun theme,territory
6553,(10/17) 7. Really cool coop that seems to offer a ton of variability.  Love the different powers and the slow/fast card play is really interesting.  Feels like a game that wouldn't necessarily get stale quickly.,kPDxpJZ8PD,3,(10/17) 7....,territory
6555,"Played the Print and Play version during Kickstarter period. Very fiddly, and despite comments that the theme was strong, I disagree. If you have a power that moves a city from one region to another, without destroying it, then that doesn't feel consistent with the theme - that's just manipulating the gameboard.

Multiple plays will be needed just to establish a gameplay rhythm so you can start to understand how to co-operate.

Overall, this game feels like it needs to be streamlined. If you have several other friends who love their AP, or are going to be happy to persevere through multiple gameplays to reach basic familiarisation levels, then maybe this game is for you.",kPDxpJZ8PD,2,Played the...,territory
6558,This is my new favorite solo game!  So many different strategies to explore!,kPDxpJZ8PD,5,This is my...,territory
7940,"Fast, Fun, and easy to teach. I enjoyed playing this with my family during the pandemic, and It is one of my new favorite games to play",BBg2uXXdB8,4,"Fast, Fun,...",territory
7948,"A surprisingly simple yet deep experience that provides a level of fulfillment not many expensive, hobbiest-oriented/big box games do. I was surprised that at $11.99 this game would bring me so much joy, but I guess it having Spiel des Jahres 2017 should've been indicative enough of that. Excellent game.",BBg2uXXdB8,4,A surprisi...,territory
7949,"A surprisingly simple yet deep experience that provides a level of fulfillment not many expensive, hobbiest-oriented/big box games do. I was surprised that at $11.99 this game would bring me so much joy, but I guess it having Spiel des Jahres 2017 should've been indicative enough of that. Excellent game.",BBg2uXXdB8,4,A surprisi...,territory
7957,Plays quick and easy to teach.  I like the artwork of the tiles and how the tiles fit together so well.  I will be playing many more times in the future.After playing this game more I bumped it up to a 10. This is one of the best games I have played.,BBg2uXXdB8,5,Plays quic...,territory
7958,"Super fun, smart and quick game. I love how the turn order is determined.",BBg2uXXdB8,4,"Super fun,...",territory
7959,Weight: 1.19 / 5Includes all four promo castles,BBg2uXXdB8,5,Weight: 1....,territory
7960,"Played a handful of times with 2-4 players and it's an enjoyable game, but my son doesn't really like it, so have traded it away to make room for other games. Could buy it again cheaply and so I did. Let's see if it will get some playtime.",BBg2uXXdB8,3,Played a h...,territory
7974,"Quick setup and play through.  Easily teachable.  Very light, great for starting a night or ending one.",BBg2uXXdB8,4,Quick setu...,territory
7975,"Beautiful, family-style dominoes.",BBg2uXXdB8,3,"Beautiful,...",territory
7994,"Play this with my nephews, and it's fun. a bit on the light side for adults, but it's uber quick, 10 - 15 minutes, before the attention span evaporates.",BBg2uXXdB8,4,Great Kids Game,territory
8014,"Expansions:
- Age of Giants

A very fast back and forth tile laying game where you try to match up similar terrains in order to get the most points. There's a neat little extra challenge where if you keep your castle tile in the middle of your tableau, you get additional points.",BBg2uXXdB8,3,Expansions...,territory
8017,"Extremely short, but fun, tile-laying game",BBg2uXXdB8,3,Extremely ...,territory
8053,"Kingdomino

#Variable turn order, tile drafting

Played with:
:d10-2:-players with :indigo: wife...
:star::star::star::halfstar::nostar:
:d10-4:-players with :indigo::corn: wife and friends...
:star::star::star::star::nostar:

Intend to play with:
:indigo::corn::tobacco: Wife, Family
:coffee: Ok for unknown friends (family game)

Possible Player counts: :d10-2::d10-3::d10-4:-players
Best with :d10-2::d10-3::d10-4:-player 

:d6-1: Level of joy :star::star::star::halfstar::nostar:
:d6-2: Must like: #variable turn order #tile drafting 
:d6-3: not super interested in expansion- possible but not needed-need to try first
:d6-4: :heart::arrowS: keeper value: I bought it to bring to the family game night and so far haven’t really played it, but one time. 
:d6-5: Similar to in my collection: Carcassonne, Between Two Cities, Kingdomiono is lighter so in some contexts better. 
:d6-6: solo mode not worth inventing 

:jug:   I liked it when I played it but I don’t think I will ever want to play it more than once, won’t usually go for it. But can play with kids so it’s value is great for family games nights

April 2019
$11.99",BBg2uXXdB8,3,Kingdomino...,territory
8054,"much better with 4 than as a 2p
",BBg2uXXdB8,3,much bette...,territory
8058,Such an elegant design.,BBg2uXXdB8,4,Such an el...,territory
8059,Location: Kallax,BBg2uXXdB8,4,Location: ...,territory
8064,"It's good. Light, but good. I really like it at two players but building the 7 by 7 grid.",BBg2uXXdB8,4,It's good....,territory
8065,"Played a game with my 6 y/o daughter and she had fun sorting the tiles by number and building a little kingdom.
",BBg2uXXdB8,3,Played a g...,territory
8074,"Super simple and fast to play. Not much gameplay, but a nice multiplayer competitive puzzle. Easy to teach and play.",BBg2uXXdB8,3,Super simp...,territory
8075,"Fantastic little game that packs a surprising amount of strategy into such a simple concept! Purchased as a family game to play with my 5 & 7-year-old, but have thoroughly enjoyed playing with my wife as well, and I expect it will make a very nice filler or gateway choice. Gameplay is very quick, which often leaves us saying ""let's play one more!""  Awesome artwork adds to the appeal, along with the extremely high-quality components you'd expect from Blue Orange Games. Bonus: The tiles also serve as an expansion for Queendomino, which we also own.",BBg2uXXdB8,3,Fantastic ...,territory
8076,"Played a handful, great condition. Comes with tile dispenser.",BBg2uXXdB8,4,Played a h...,territory
8079,"I assumed this would fall off after I played Queendomino, but Kingdomino is just about the perfect little filler game.  Still certainly possible that I'll lose interest in the coming year as I get more plays of its big sister, but for now, this is a keeper.",BBg2uXXdB8,4,I assumed ...,territory
8093,Itch: filler,BBg2uXXdB8,3,Itch: fill...,territory
8109,Great family game. Pretty simple. Looking to see how Age of Giants adds some strategy to the game.,BBg2uXXdB8,4,Great fami...,territory
8111,Quick play and easy to understand rules.  Good for resetting between brain burners.,BBg2uXXdB8,3,Quick play...,territory
8114,An excellent game that deserves it's accolades. The game play is super quick and clever. The variable turn order is brilliant. I have never taught this game and had the players dislike it.,BBg2uXXdB8,4,An excelle...,territory
8120,"Very light. It would be a decent game with a couple changes: 1) allowing players to see the tiles coming up on the next round, 2) making the caves less valuable. Without the 1st, it's very difficult to strategize piece placement and falls prey to luck of the draw. Without the 2nd, the player with the most caves usually just wins.",BBg2uXXdB8,3,Very light...,territory
8121,"LYLA / 7.5 / 2-4p Best 2,4 / 15-20m / 2016 / Family 32 / 1.23",BBg2uXXdB8,3,LYLA / 7.5...,territory
8126,Tile placement,BBg2uXXdB8,4,Tile place...,territory
8129,Quickly becoming one of my family's favorite games.,BBg2uXXdB8,4,Quickly be...,territory
8130,"The hyper light, hyper fast cousin to Isle of Skye. Trades the complex scoring and economy system for a speculative draft that just works. Phenomenal production for its price point. Enjoyable at every player count. Deserves its Spiel nod.",BBg2uXXdB8,3,The hyper ...,territory
8132,"This game is ""fine,"" not great.  I find that the gameplay feels repetitive and more-or-less mechanical with the base game scoring goals and bonuses.  I would definitely get Age of Giants to add to the scoring strategies and change it up.  This one does not get much play as is.

Update 12/23/18: Gave away to a board gaming friend that really enjoyed his first play.",BBg2uXXdB8,3,This game ...,territory
8136,"http://meeplelikeus.co.uk/kingdomino-2016/

http://meeplelikeus.co.uk/kingdomino-2016-accessibility-teardown/",BBg2uXXdB8,3,http://mee...,territory
8141,"This game is a super quick and fun filler! It can be taught really quickly, and has a good amount of replay-ability in my opinion. In such a small box, its easy to bring wherever as well.",BBg2uXXdB8,5,This game ...,territory
8145,"I love playing this game with my 5yo daughter. It doesn't require any reading and she plays extremely well. Even my mother, who hates playing games, had fun playing this one. The only knock is that it's very light and most gamers would prefer Queendomino over this one.",BBg2uXXdB8,4,This is a very fun family game that doesn't take long to play,territory
8150,Kids.,BBg2uXXdB8,3,Kids.,territory
8154,"I really fun, light, fast game. The spacial aspects and tile choosing is great.

The component quality is fantastic. The little touch of the 3D castles if fun, totally unnecessary, but great.",BBg2uXXdB8,4,I really f...,territory
8162,I've enjoyed it so far but I haven't bought it (or printed up my Decktet version Personimo) because I wonder about its staying power.,BBg2uXXdB8,3,I've enjoy...,territory
8165,"Light, short family game that I find uninteresting.",BBg2uXXdB8,2,"Light, sho...",territory
8178,"Nice filler, love the 7x7 variant. I need that sexy tower for the tiles.",BBg2uXXdB8,3,Nice fille...,territory
8182,6 Years. Play with Mathias,BBg2uXXdB8,3,6 Years. P...,territory
8187,"The appeal for Kingdomino is quickly apparent after opening the box and perusing the rules. The game is incredibly quick to learn and play, and a strong candidate for a rinse-and-repeat session. The twelve rounds are enough to temper the luck factor to an acceptable level, and the puzzle of containing your kingdom to a 5x5 grid is satisfying. Players must balance flexible growth with point generating terrain specificity. Its too quick and simple to excite me, but I'd understand if I am in the minority.",BBg2uXXdB8,2,The appeal...,territory
8188,a solid way to start out a night of gaming,BBg2uXXdB8,3,a solid wa...,territory
8200,A quick tile laying game with unique scoring mechanics.,BBg2uXXdB8,4,A quick ti...,territory
8202,(11/17) 7. A light tile laying/drafting game that has a bunch of interesting choices and plays extremely quickly.  A really good choice for the Spiel des Jares as I can see this being a hit with families.  Very fun and accessible.,BBg2uXXdB8,3,(11/17) 7....,territory
8203,In Germany,BBg2uXXdB8,4,In Germany...,territory
10265,Insanely difficult - only works if everyone completely understands the communication rules. Takes a few rounds to understand your groups synergy.,fGZawn3ipZ,3,Insanely d...,deduction
10269,"Not my type, more for newbie players.I play this game with my friends who arent into gaming to get them into the gaming world!Edit: After playing this game with serious gamers, I started to see the depth of this game.I would say I wouldnt have fun teaching it to new players, since it needs a lot of practice and guiding to get to a certain level.But still I havnt scored a 25 yet...Hopefully someday I will!Best score: 22",fGZawn3ipZ,3,Not my typ...,deduction
10274,New in shrink.,fGZawn3ipZ,2,New in shr...,deduction
10275,"I've decided after 80 plays to go ahead and move this up to a 10.  I don't give many 10's.  And I never give them out right off the bat.  (I use a different style rating system)  But I love this game.  And the thing about this one is the better you get at it.  The more fun it becomes and the more interesting the situations that you get in get.It is interesting playing this with people and growing as a group, but later, I think playing with others makes the group dynamic kind of interesting as well, and sometimes frustrating.  I'm happy to play this anytime.",fGZawn3ipZ,5,I've decid...,deduction
10277,Really clever game and perfect for teaching non-gamers!,fGZawn3ipZ,3,Really cle...,deduction
10278,"Fun cooperative game, sounds a bit boring at first, but I must say we usually have a lot of fun. My son has some trouble with giving and receiving tips, but in general we have very good results without ""cheating"" (you can be VERY explicit when giving a tip).",fGZawn3ipZ,3,Fun cooper...,deduction
10282,this game is more about who you play with that what it is... co-op that relies on group honesty and puzzle-solving. can have the alpha player problem,fGZawn3ipZ,3,this game ...,deduction
10287,Never.  Again.,fGZawn3ipZ,2,Never.  Ag...,deduction
10299,I wish it had a better theme. Hard to teach to new players. Some people just can't avoid giving illegal clues. You are not allowed to express emotions during this game and that is not a very fun concept.,fGZawn3ipZ,2,I wish it ...,deduction
10310,Super Stressful game. Not knowing what you are holding in your hand and having to guess what to play is nerv racking.  Having 8 guesses is NOT enough even for 3 players.  Still a fun game to play and great little filler that keeps you thinking.,fGZawn3ipZ,4,Super Stre...,deduction
10313,"ABACUSSPIELE version
Obtained 2nd hand, includes Hanabi: Die Bonus-Plättchen",fGZawn3ipZ,3,ABACUSSPIE...,deduction
10318,Favorite filler game.,fGZawn3ipZ,4,Favorite f...,deduction
10322,"Excellent game, scales well,

Lack luster components, will search for deluxe edition.",fGZawn3ipZ,4,Excellent ...,deduction
10328,"Fascinating. The shared logic puzzle is delicious in its tension, amplified by your inability to correctly gauge whether people have correctly interpreted your clues.",fGZawn3ipZ,4,Fascinatin...,deduction
10330,"My go-to travel game. Helps kill the time in airports. Very clever game, but is only fun with the right crowd.",fGZawn3ipZ,4,My go-to t...,deduction
10334,"Played once. Group didn't like it, though I was fond.",fGZawn3ipZ,3,Played onc...,deduction
10335,"2-5 Players
30",fGZawn3ipZ,4,2-5 Player...,deduction
10336,It was ok the first couple of playthroughs but ultimately just a gimmick that wore off which means I don't care to really play it ever again. I'd still recommend people trying it once for the experience maybe. It's a pretty cheap game so maybe it's worth having for some gamers.,fGZawn3ipZ,2,It was ok ...,deduction
10343,"0.5
xx",fGZawn3ipZ,2,"0.5
xx",deduction
10345,"This is a fantastic game to play with a few people who aren't serious gamers. It still provides a lot of depth, but it's more social than strategic.",fGZawn3ipZ,4,This is a ...,deduction
10349,Played this many many times with friends and with students. ,fGZawn3ipZ,4,Played thi...,deduction
10350,"whenever we play this , we always become noisy because of the excitement and the frustrated when player do not remember the precious hint we given xD 

easy to teach and play just the end game is kinda meh ... 
the way the score counted just make the end game feeling not epic ... 

for example i only completed 3 set but i almost completed the other 2 set, the final score is 21 which the perfect score is 25 the different just too little.",fGZawn3ipZ,3,whenever w...,deduction
10361,"One of very few co-operative games that I'm willing (and eager) to play, this could be due to the inability of one player to take over at all. The fact that paying particular attention can lead to gaining knowledge from clues to others, or what they play, is also likely a draw for me.",fGZawn3ipZ,3,One of ver...,deduction
10373,"Played with two players but think it would excel at 4 players. Even with two we were cheering and feeling relieved when we didn't make bonehead moves. I really like that it's a small, compact game that I can easily take to work or out and about with me. 

Update: Hanabi has gotten tons of play time over the holiday with friends and such. It's a really accessible game to casual gamers but has some strategy and depth to it. One of the better pure co-op games we've played. 

Stored in Quiver case for portability.",fGZawn3ipZ,3,Played wit...,deduction
10375,"Play this game for fun, or play this game with a scientific rigor that might ruin the game for everyone else. My rating is for my first tens of experiences of this game, before I looked into possible strategies to get better.",fGZawn3ipZ,4,Play this ...,deduction
10377,"Fairly fun and in a nice small package. I can't imagine I'll reach for this too often, though, with Saboteur existing.",fGZawn3ipZ,3,Fairly fun...,deduction
10382,"This is an interesting little game. The positives are the cooperative aspect, and the mechanics are unique. The cons would be the lacklustre ending to the game. The theme says that fireworks are going off but there is not really a great cathartic moment at the end to feel like anything was accomplished. As a puzzle that is worked on collectively, it is 10/10 but it is not quite a game.
____

11-8-15 Added an extra .5 due to the lots of laughs scenario
____
16-3-16 Really good game, I like it but it has not been played for a while. Up for trade.",fGZawn3ipZ,3,This is an...,deduction
10393,"Interesting cooperative game. Because no player has complete knowledge of the situation, it reduces the chances of a single player commanding the whole team. We liked it but felt that the tokens were not the best solution to avoid players relying to much on giving information.

A possible weakness of the game is that although it is very simple and light, it demands that players are focused all the game and memorize as many clues as possible, not only those received, but also those given to other players to avoid repeating information. This makes it a very hard game to play to non-gamers or with players that lack the discipline to stay focused for 30 minutes straight.",fGZawn3ipZ,3,Interestin...,deduction
10394,TRADED AWAY.  Nice cooperative game. Deduction.,fGZawn3ipZ,3,TRADED AWA...,deduction
10396,Fun cooperative game for 2-5P with a unique hand management mechanic.,fGZawn3ipZ,3,Fun cooper...,deduction
10407,"Best: 4
Time: 25 Min
Weight: 1.70",fGZawn3ipZ,3,"Best: 4
Ti...",deduction
10429,7.2 / 2-5p Best 4 / 25m / Family 30 / 1.70,fGZawn3ipZ,2,7.2 / 2-5p...,deduction
10432,"I was not blown away by this game, I don't know why.  Lots of people like it but just hasn't peaked my interest.",fGZawn3ipZ,3,I was not ...,deduction
10435,"It's hard to get used to NOT looking at cards you draw. But, otherwise, it's a very fun cooperative game with hidden information and memory. *Will not be fun for people who don't enjoy memorizing hidden information.",fGZawn3ipZ,3,It's hard ...,deduction
10436,"Feels like a classic card game in its simplicity. Standup and cheer moments. I've found it difficult to introduce to non-hobby gamers, but that appears to be the opposite of everyone else's experience.",fGZawn3ipZ,3,Feels like...,deduction
10438,"I totally recommend this one.
Surprisingly it was a hit with nearly everyone I played it with. While it does need a fair amount of concentration its a cooperative card game variant of Solitaire. The great twist of not seeing your own cards is always a hit. It's also very portable so you can take it everwhere and play a quick round.",fGZawn3ipZ,4,I totally ...,deduction
10439,"I totally recommend this one.
Surprisingly it was a hit with nearly everyone I played it with. While it does need a fair amount of concentration its a cooperative card game variant of Solitaire. The great twist of not seeing your own cards is always a hit. It's also very portable so you can take it everwhere and play a quick round.",fGZawn3ipZ,4,I totally ...,deduction
10440,"It's a drinking game you can take down the pub.
",fGZawn3ipZ,3,It's a dri...,deduction
10444,"http://meeplelikeus.co.uk/hanabi-2010/

http://meeplelikeus.co.uk/hanabi-2010-accessibility-teardown/",fGZawn3ipZ,1,http://mee...,deduction
10450,It seems like the only way to do well in the game is to conspire against the game using nonverbal hints.,fGZawn3ipZ,1,It seems l...,deduction
10452,First time playing a co-op card game and I enjoyed the experience. Really liked the theme and the challenge of getting a higher score increases the replay value,fGZawn3ipZ,3,No Review Title,deduction
10457,"2-5 players (best 4)
30 minutes",fGZawn3ipZ,4,2-5 player...,deduction
10460,much better with 3+,fGZawn3ipZ,3,much bette...,deduction
10473,"I played Hanabi a long time ago so when I received Deluxe, I was definitely interested. My girlfriend loved the game as soon as we played it. The biggest thing it has over regular Hanabi is the tiles can stand up vs. holding cards out. It's far easier to sort, organize, and not-accidentally-look at your tiles as opposed to juggling a hand of cards. Came as a ""best man"" gift and it's great!",fGZawn3ipZ,3,I played H...,deduction
10475,"Great game, great design. A co-op game even for people that don't usually like co-ops",fGZawn3ipZ,4,Great game...,deduction
10478,"Cooperative deductive game with simple rules but fantastic replayability. Playing is great, but post-game discussion about what happened and what to do the next time is a uniquely fun experience.",fGZawn3ipZ,2,Cooperativ...,deduction
10479,It's fine. The rules can be bent too much and its hard to prevent. Multiple plays with the same group would become too easy.,fGZawn3ipZ,3,It's fine....,deduction
10480,Too stressful for some.,fGZawn3ipZ,3,Too stress...,deduction
10486,"
[Pending to sleeve]",fGZawn3ipZ,4,"
[Pending ...",deduction
10493,"Takes the right crowd, but it can be a fun brain-burner. Silent.",fGZawn3ipZ,3,Takes the ...,deduction
10496,"Easy to learn, but hard to win, Hanabi is one of the best collaborative games out there. 

To win, players should collect cards of the same color in order. The trick is that they can see other players cards, but not their own. To solve the puzzle, players have to share clues, but communication is extremely limited, so only teams in perfect harmony will succeed.",fGZawn3ipZ,5,Easy to le...,deduction
10497,"Easy to learn, but hard to win, Hanabi is one of the best collaborative games out there. 

To win, players should collect cards of the same color in order. The trick is that they can see other players cards, but not their own. To solve the puzzle, players have to share clues, but communication is extremely limited, so only teams in perfect harmony will succeed.",fGZawn3ipZ,5,Easy to le...,deduction
10502,"A fun experience, but once you figure out the 'language' it loses its appeal. I would recommend it to others, as its a fun puzzle to solve, but now that I've solved the puzzle, I will likely never play again. Granted, it's low price point is worth the short shelf life.",fGZawn3ipZ,2,A fun expe...,deduction
10503,"Such an elegant game design. The perfect solution to the alpha gamer problem, and as someone who plays with mathematicians and programmers, I still think it's quite difficult! Theme is tacked on but doesn't bother me.",fGZawn3ipZ,4,Such an el...,deduction
10505,$10.25 07-Jan-15,fGZawn3ipZ,3,$10.25 07-...,deduction
10506,"Intense, but simple game that scales wonderfully from 2-6. Our our favorite card games we can easily get out week after week.",fGZawn3ipZ,4,"Intense, b...",deduction
10519,"(10/16) 6.

(9/17) Drop to 5.  Just doesn't make it out very much whatsoever.  Still very solid and pure, just other games I (and most) people would prefer to play generally.",fGZawn3ipZ,2,(10/16) 6....,deduction
10532,"I liked it, but the ghost role is very hard to play. The cards are very abstract, and the ghost only has 7 cards at a time. I tried it with Dixit cards once, the result was much better (easier for the psychics also, that was the downside) but the Dixit cards are full of direct hints.",nHJNyAWsoo,3,I liked it...,deduction
10545,+ Actually feels co-operative+ Accommodating player count+ Engrossing theme+ Excelent Artwork and Components+ Interpreting/giving clues is engaging+ Natural tension created in close games+ Betting on teammates is a solid mechanic- Too much game state upkeep- Long Setup- Limited Replay Value- Slightly underwhelming second phase,nHJNyAWsoo,3,+ Actually...,deduction
10548,This game was way more difficult that I thought it would be. Big fan of the game and I would gladly play it again. I  want more vision cards to increase replayabiliy.,nHJNyAWsoo,4,This game ...,deduction
10549,APP ONLY,nHJNyAWsoo,2,APP ONLY,deduction
10551,Weight: 1.91 / 5,nHJNyAWsoo,3,Weight: 1....,deduction
10555,2-7,nHJNyAWsoo,4,2-7,deduction
10556,"I play this with the kids. Can be fun, but when they are not yet at the abstraction stage, it can be somewhat tedious - one clue, one card. Live a little, kids!",nHJNyAWsoo,3,I play thi...,deduction
10558,"(Oct 2015) I quite like it, but it might end up being a ""sometimes game"" that I need to be in the mood for. Still, it supports up to seven, and that's rare in itself. I think it's probably best with 4-5 though.",nHJNyAWsoo,3,(Oct 2015)...,deduction
10562,tons of fun! very unique,nHJNyAWsoo,4,tons of fu...,deduction
10564,"One of the best parts of the game is the fact our group argued over the outcome at the end, even though we won!",nHJNyAWsoo,4,One of the...,deduction
10573,"The clue-giving/guessing part of the game is fun. The rest of it not so much, at least for our family. It feels like a lot of extra mechanics are tacked on to turn it into a ""real"" game but we enjoy just trying to get everyone to guess all their items. This turns it into Codenames: Dixit edition but that's apparently what we were looking for.",nHJNyAWsoo,2,The clue-g...,deduction
10575,Not really a fan. I would rather play Dixit.,nHJNyAWsoo,2,Not really...,deduction
10595,"Call me a contrarian, but the new art and new rules strike me as vastly inferior to the original. The rules you can revert to, but you're stuck with the new art.
The screen is badass, though.",nHJNyAWsoo,3,Call me a ...,deduction
10607,"This game is fun, but the setup is super rough. And losing feels abrupt and unsatisfying.",nHJNyAWsoo,3,This game ...,deduction
10610,"Kinda interesting. Feelings are kinda mixed so far, but definitely worth another couple play-through's.",nHJNyAWsoo,2,Kinda inte...,deduction
10635,Didn't work with two and is not something we would go out of our way to play with friends.,nHJNyAWsoo,3,Didn't wor...,deduction
10636,"kinda done with this one; just doesn't have much replay-ability for me, at least with the same people",nHJNyAWsoo,2,kinda done...,deduction
10641,Location: Kallax,nHJNyAWsoo,4,Location: ...,deduction
